Name, Website Name, Price 
Motorola Moto G4 Play,  Motorola Moto G4 Play,19900
Motorola Moto G4,  Motorola Moto G4 Play,19900
Vivo Y12,  Vivo Y12s,19999
Vivo Y12s,  Vivo Y12s,19999
Vivo Y71,  Vivo Y71,19999
Samsung Galaxy A02s,  Samsung Galaxy A02s 4GB,19999
Realme C21,  Realme C21,19999
Realme C3,  Realme C3,19999
OPPO A12,  Oppo A12 3GB,19999
Motorola Moto E6,  Motorola Moto E6 Plus,19999
Motorola Moto E,  Motorola Moto E6 Plus,19999
LG G4 Stylus,  LG G4 Stylus,19999
Infinix Hot 7 Pro,  Infinix Hot 7 Pro,19999
Huawei Y5 2019, Huawei Y5 2019,19999
Huawei Y6II Compact,  Huawei Y6II Compact,19999
Alcatel 3X,  Alcatel 3X,19999
Alcatel 3X (2019),  alcatel 3x (2019),19999
Alcatel X1,  Alcatel X1,19999
Samsung Galaxy J7 Prime,  Samsung Galaxy J7 Prime 2,20000
Samsung Galaxy J7 Prime 2,  Samsung Galaxy J7 Prime 2,20000
Huawei P9 Lite mini,  Huawei P9 Lite mini,20099
Huawei P9 Lite,  Huawei P9 Lite mini,20099
Samsung Galaxy S4 Zoom,  Samsung Galaxy S4 Zoom,20488
Acer Liquid Zest Plus,  Acer Liquid Zest Plus,20500
Realme Narzo 30A,  Realme Narzo 30A,20599
Huawei Y6p,  Huawei Y6p,20899
Huawei Y6,  Huawei Y6p,20899
Vivo Y81,  Vivo Y81i,20999
Vivo Y81i,  Vivo Y81i,20999
Infinix Hot S,  Infinix Hot S5,20999
Alcatel 1x (2019),  Alcatel 1x (2019),20999
Infinix Note 7 Lite,  Infinix Note 7 Lite,21099
Infinix Note 7,  Infinix Note 7 Lite,21099
Huawei Y6 2017,  Huawei Y6 2017,21400
LG Stylus 3,  LG Stylus 3,21500
HTC One A9s,  HTC One A9s,21900
Samsung Galaxy Tab A 10.1,  Samsung Galaxy Tab A 10.1 (2019),21949
Samsung Galaxy Tab A,  Samsung Galaxy Tab A 10.1 (2019),21949
Samsung Galaxy Tab A 10.1 (2019),  Samsung Galaxy Tab A 10.1 (2019),21949
Samsung Galaxy J7 Duo,  samsung Galaxy J7 Duo,22000
OPPO A83,  Oppo A83,22000
HTC Desire 626s,  HTC Desire 626s,22000
HTC Desire 626,  HTC Desire 626s,22000
Alcatel A5 LED,  alcatel A5 LED,22100
Asus Zenfone Selfie,  Asus Zenfone Selfie ZD551KL,22149
Vivo Y93s, Vivo Y93,22499
Tecno Camon i4,  Tecno Camon i4,22499
Samsung Galaxy J5 (2016),  Samsung Galaxy J5 (2016),22499
Huawei Y7 Prime 2018,  Huawei Y7 Prime 2018,22499
Samsung Galaxy M10,  Samsung Galaxy M10s,22500
Samsung Galaxy M10s,  Samsung Galaxy M10s,22500
OnePlus Nord N100,  OnePlus Nord N100,22500
Huawei Honor 7C,  Huawei Honor 7C,22749
Huawei Ascend G6,  Huawei Ascend G6,22899
Vivo Y93,  Vivo Y93,22999
Vivo Y11 (2019),  vivo Y11 (2019),22999
Samsung Galaxy Tab A 8.0 (2019),  Samsung Galaxy Tab A 8.0 (2019),22999
OPPO A31,  Oppo A31 3GB,22999
OPPO A3,  Oppo A31 3GB,22999
Huawei Honor 3X,  Huawei Honor 3X G750,22999
Alcatel 1X,  alcatel 1x (2020),22999
Vivo Y25,  vivo Y25,23000
Samsung Galaxy M01s,  samsung Galaxy M01s,23000
Samsung Galaxy M01,  samsung Galaxy M01s,23000
LG F70,  LG F70 D315,23000
Samsung Galaxy J7 (2016),  Samsung Galaxy J7 (2016),23049
Alcatel Shine Lite,  alcatel Shine Lite,23300
Infinix Infinix S4, Infinix S4,23499
Tecno Pova,  Tecno Pova,23500
Samsung Galaxy J4+,  Samsung Galaxy J4+ Plus,23500
Huawei Honor 4X,  Huawei Honor 4X,23500
Huawei Honor 8 Lite,  Huawei Honor 8 Lite,23500
Vivo Y20s G, Vivo Y20,23900
Realme 3i,  Realme 3i,23999
LG K4,  LG K40,23999
Huawei Y7 Pro,  Huawei Y7 Pro 2019,23999
Samsung Galaxy J5,  Samsung Galaxy J5,24249
Huawei Ascend G7,  Huawei Ascend G7,24249
Asus Zenfone Max Pro (M1) ZB601KL,  Asus Zenfone Max Pro (M1) ZB601KL,24300
Asus Zenfone 3 Max, Asus Zenfone 3 Max ZC553KL,24399
HTC Desire 820,  HTC Desire 820q,24499
Xiaomi Redmi 9 Power, Xiaomi Redmi 9,24799
Xiaomi Redmi 9i, Xiaomi Redmi 9,24799
HTC Desire 10 Pro,  HTC Desire 10 Pro,24899
Vivo V7,  Vivo v7,24999
Tecno Camon 12 Pro,  Tecno camon 12 pro,24999
Tecno Camon 12,  Tecno camon 12 pro,24999
Samsung Galaxy M11,  Samsung Galaxy M11,24999
Realme 5,  Realme 5i,24999
Realme C15,  Realme C15,24999
Realme 5i,  Realme 5i,24999
Infinix Hot 10,  Infinix Hot 10S,24999
Huawei Y7 Prime,  Huawei Y7 Prime 2019 SE,24999
Huawei Y7 Prime 2019,  Huawei Y7 Prime 2019 SE,24999
Huawei Ascend Mate,  Huawei Ascend Mate 7,24999
Huawei Ascend Mate 7,  Huawei Ascend Mate 7,24999
HTC Desire 10 Lifestyle,  HTC Desire 10 Lifestyle,24999
Lenovo K5 Pro,  Lenovo K5 Pro,25000
Lenovo Vibe Shot,  Lenovo Vibe Shot,25000
Huawei Honor 7i,  Huawei Honor 7i,25149
Motorola Moto M,  Motorola Moto M,25400
Samsung Galaxy J7 Star,  Samsung Galaxy J7 Star,25499
Asus Zenfone 2 Laser,  Asus Zenfone 2 Laser ZE601KL,25499
Sony Xperia M5,  Sony Xperia M5,25500
Sony Xperia M,  Sony Xperia M5,25500
Lenovo Phab Plus,  Lenovo Phab Plus,25500
Huawei Enjoy 6S,  Huawei Enjoy 6s,25500
OPPO F5 Youth,  Oppo F5 Youth,25700
OPPO F5,  Oppo F5 Youth,25700
HTC U Play,  HTC U Play,25800
Lenovo K6 Note,  Lenovo K6 Note,25900
LG Aristo 3, LG Aristo 3,25900
Xiaomi Redmi 9,  Xiaomi Redmi 9T 64GB,25999
Xiaomi Redmi 9T,  Xiaomi Redmi 9T 64GB,25999
Vivo Y15,  vivo Y15,25999
Vivo Y20,  Vivo Y20 2021,25999
Vivo Y20 2021,  Vivo Y20 2021,25999
Realme 1,  Oppo Realme 1,25999
OPPO A15s,  Oppo A15s,25999
OPPO A15,  Oppo A15s,25999
Huawei Honor 7X,  Huawei Honor 7X,25999
Lenovo Vibe S1,  Lenovo Vibe S1 Lite,26000
Lenovo Vibe S1 Lite,  Lenovo Vibe S1 Lite,26000
Infinix Hot 7,  Infinix Hot 7,26000
LeEco Le 2 Pro,  LeEco Le 2 Pro,26400
Huawei Honor 8C,  Huawei Honor 8C,26499
Huawei Honor 8,  Huawei Honor 8C,26499
LG G Flex,  LG G Flex,26500
Huawei Honor 6X,  Huawei Honor 6x,26500
Vivo V5,  vivo V5s,26999
Vivo V5s,  vivo V5s,26999
Tecno Camon 16,  Tecno Camon 16 SE,26999
Realme C2,  Realme C25,26999
Realme C25,  Realme C25,26999
OPPO F7,  Oppo F7 Youth,26999
LG Q60,  LG Q60,26999
Infinix Note 8i,  Infinix Note 8i,26999
Infinix Note 8,  Infinix Note 8i,26999
Huawei Honor 9 Lite,  Huawei Honor 9 Lite,26999
HTC One Mini 2,  HTC One Mini 2,26999
Alcatel 3v,  alcatel 3v,26999
Alcatel 3V (2019),  alcatel 3v (2019),26999
Motorola Moto e5 plus,  Motorola Moto E5 Plus,27000
Motorola Moto X Play,  Motorola Moto X Play Dual SIM,27000
Motorola moto e5,  Motorola Moto E5 Plus,27000
Lenovo PHAB,  Lenovo Phab2 Plus,27000
Asus Zenfone 4 Max,  Asus Zenfone 4 Max Pro ZC554KL,27500
Samsung Galaxy On6,  Samsung Galaxy On6,27600
OPPO A73 5G, Oppo A7,27700
OPPO A77T, Oppo A7,27700
OPPO A71 (2018), Oppo A7,27700
LG X Power 2,  LG X Power 2,27700
Asus Zenfone 4 Selfie ZD553KL,  Asus Zenfone 4 Selfie ZD553KL,27900
